time,group1_current,group2_current,group3_current,group4_current,group5_current,group6_current,heat,inlet_mean_temp,max_temp_fuel,temp_blanket,temp_fuel
0,0,0,0,0,0,0,0,930,0,0,0
1e-07,3.1903557560024e+20,1.1309813295557e+21,1.9766551629157e+21,1.4760451652654e+21,1.4701737382536e+21,1.510854508313e+21,645883878.73373,923,923.00000163013,923.00000001981,923.00000149588
2.2e-07,2.6093802565184e+20,1.0240048048976e+21,2.1839784378683e+21,1.4629352314122e+21,1.3884425293102e+21,1.4538981037935e+21,653230027.13201,923,923.00000357417,923.00000003911,923.00000331853
3.64e-07,2.6199283824128e+20,1.022642766086e+21,2.3298911620986e+21,1.493897247778e+21,1.3166314334062e+21,1.3929175469053e+21,660573024.06565,923,923.00000606358,923.00000006146,923.00000553263
5.368e-07,2.6435559131942e+20,1.0323064995432e+21,2.4335575718679e+21,1.5503743338673e+21,1.2572009661409e+21,1.3279729494554e+21,665068377.93484,923,923.00000919097,923.00000008763,923.00000820941
7.4416e-07,2.6563144273474e+20,1.0388464408582e+21,2.5004537733213e+21,1.6152760053358e+21,1.2125541372282e+21,1.2596980477932e+21,666864771.22173,923,923.00001310888,923.00000011815,923.00001143201
9.92992e-07,2.6589852189182e+20,1.041319458773e+21,2.5381693495743e+21,1.6747597117019e+21,1.1831268234483e+21,1.1891599043954e+21,666328823.64851,923,923.00001802247,923.0000001536,923.00001529796
1.2915904e-06,2.6530409899005e+20,1.0402216487979e+21,2.5546616503807e+21,1.7203218452639e+21,1.1669201923624e+21,1.1176563066141e+21,663799081.7606,923,923.00002419856,923.00000019455,923.00001992166
1.64990848e-06,2.6398341117415e+20,1.0361130893087e+21,2.5563319381399e+21,1.7489864905387e+21,1.1600493548037e+21,1.0464661924112e+21,659591509.21904,923,923.00003198546,923.00000024161,923.00002543748
2.079890176e-06,2.6207652517644e+20,1.0295665466929e+21,2.5477446766568e+21,1.7619156051181e+21,1.1579050780446e+21,9.7661013790635e+20,654041977.77574,923,923.00004183849,923.00000029541,923.00003200377
2.5958682112e-06,2.5974433192113e+20,1.0212279891313e+21,2.5322171814954e+21,1.7624868304114e+21,1.1564096843475e+21,9.0869414274223e+20,647542052.77035,923,923.00005435148,923.00000035657,923.00003980861
3.21504185344e-06,2.5717464146609e+20,1.0118456843707e+21,2.5124899937389e+21,1.7547160492118e+21,1.1529116851275e+21,8.4289285038369e+20,640551538.51693,923,923.00007029393,923.00000042577,923.0000490776
3.958050224128e-06,2.5457687707744e+20,1.0022524770069e+21,2.491118005587e+21,1.7423596576561e+21,1.1464922429167e+21,7.7908344136445e+20,633583850.47544,923,923.00009065189,923.00000050369,923.00006008454
4.8496602689536e-06,2.5216787259635e+20,9.9331102398247e+20,2.4705610812677e+21,1.7285804671629e+21,1.13772091408e+21,7.1708619637696e+20,627170154.27043,923,923.0001166698,923.00000059114,923.00007316527
5.9195923227443e-06,2.5015404826861e+20,9.858435033971e+20,2.4530980197963e+21,1.7159065706381e+21,1.1280816509123e+21,6.5692643682239e+20,621815088.9086,923,923.00014989043,923.00000068904,923.00008873532
7.2035107872932e-06,2.4871585026708e+20,9.8056976375268e+20,2.4406983562434e+21,1.706283802633e+21,1.1193436065534e+21,5.9902525718843e+20,617958380.0679,923,923.00019219242,923.00000079856,923.00010731184
8.7442129447518e-06,2.4799864836964e+20,9.7807104181014e+20,2.4349396645749e+21,1.7011468243128e+21,1.113088907386e+21,5.4425654849346e+20,615952490.38287,923,923.0002458297,923.00000092125,923.00012954078
1.0593055533702e-05,2.4811165136292e+20,9.7878564661192e+20,2.4370043197209e+21,1.7015047511452e+21,1.1104855929843e+21,4.9385839491277e+20,616060052.36279,923,923.00031348332,923.00000105921,923.00015623065
1.2811666640443e-05,2.4913450808489e+20,9.8303520759949e+20,2.447754789552e+21,1.7080504868019e+21,1.1122777371428e+21,4.4923238039293e+20,618470306.78582,923,923.00039834263,923.00000121537,923.00018839503
1.5473999968531e-05,2.5113057361687e+20,9.9107721710831e+20,2.4678739873869e+21,1.7212955336403e+21,1.1189064267736e+21,4.1168887283105e+20,623332149.46049,923,923.00050423623,923.0000013938,923.0002273073
1.8668799962237e-05,2.5416554409168e+20,1.0031785807937e+21,2.4980552159482e+21,1.7417258601022e+21,1.1306789674091e+21,3.822019249286e+20,630800651.44272,923,923.00063583461,923.00000160012,923.00027457296
2.2502559954685e-05,2.583296713297e+20,1.0197031173185e+21,2.5392240253756e+21,1.7699708865888e+21,1.1479373158063e+21,3.6123376148095e+20,641092561.56094,923,923.00079894796,923.00000184199,923.00033222788
2.7103071945622e-05,2.637615573383e+20,1.0412052208712e+21,2.5927737597382e+21,1.8069765140277e+21,1.1712081062775e+21,3.4867847810293e+20,654545683.15053,923,923.0010009495,923.00000212969,923.0004028751
3.2623686334746e-05,2.7067257595583e+20,1.0685260165316e+21,2.6608067127552e+21,1.8541790312542e+21,1.2013359342718e+21,3.4395105323606e+20,671679638.15968,923,923.00125137139,923.00000247685,923.00048987874
3.9248423601695e-05,2.793734582214e+20,1.102898094864e+21,2.746396451447e+21,1.9136919779688e+21,1.2396143052061e+21,3.462083142992e+20,693261810.13547,923,923.00156274981,923.00000290139,923.00059764373
4.7198108322034e-05,2.9030770878481e+20,1.1460772453622e+21,2.8539171408418e+21,1.9885383820279e+21,1.2879400707249e+21,3.546461803294e+20,720390111.65011,923,923.00195184553,923.00000342698,923.00073202625
5.6737729986441e-05,3.0409964689488e+20,1.2005319840939e+21,2.9895164640125e+21,2.0829819019923e+21,1.3490287347367e+21,3.6879730664891e+20,754611994.78148,923,923.00244144906,923.00000408523,923.00090094848
6.818527598373e-05,3.2162865227271e+20,1.2697366498908e+21,3.161846129736e+21,2.2030363573046e+21,1.4267433795743e+21,3.8877305613591e+20,798108487.69024,923,923.00306312497,923.00000491928,923.00111534085
8.1922331180476e-05,3.4414783997433e+20,1.3586400438766e+21,3.3832292608822e+21,2.3572786862049e+21,1.5266187984545e+21,4.1544800370781e+20,853988496.05386,923,923.00386151364,923.00000598951,923.00139062545
