time,group1_current,group2_current,group3_current,group4_current,group5_current,group6_current,heat,inlet_mean_temp,max_temp_fuel,temp_blanket,temp_fuel
0,0,0,0,0,0,0,0,930,0,0,0
1e-06,8.2983519181191e+20,3.2778464574726e+21,8.1757720907625e+21,5.7102996366871e+21,3.7249069337256e+21,1.0418843198902e+21,2016216870.2429,964.73280966034,1160.1291002862,925.02259931655,1015.3839188835
2.2e-06,8.2983504074873e+20,3.2778458476482e+21,8.1757703940482e+21,5.7102984036562e+21,3.7249063057858e+21,1.0418842525676e+21,2016216508.5772,964.73280965747,1160.1291002849,925.02259933548,1015.3839188818
3.64e-06,8.2983486597931e+20,3.2778451562846e+21,8.1757686386627e+21,5.7102971307849e+21,3.724905506303e+21,1.0418841187565e+21,2016216085.3184,964.73280965403,1160.1291002834,925.02259935819,1015.3839188798
5.368e-06,8.2983465592412e+20,3.2778443261807e+21,8.1757665646374e+21,5.7102956705046e+21,3.7249045546815e+21,1.0418839206976e+21,2016215576.094,964.7328096499,1160.1291002816,925.02259938545,1015.3839188773
7.4416e-06,8.2983440220723e+20,3.2778433238109e+21,8.1757640650762e+21,5.7102939248983e+21,3.7249034177088e+21,1.0418836568052e+21,2016214960.6233,964.73280964495,1160.1291002794,925.02259941817,1015.3839188743
9.92992e-06,8.2983409596355e+20,3.2778421141104e+21,8.1757610490494e+21,5.7102918207797e+21,3.7249020493077e+21,1.0418833197813e+21,2016214217.3709,964.73280963901,1160.1291002767,925.02259945742,1015.3839188707
1.2915904e-05,8.2983372707953e+20,3.2778406571185e+21,8.1757574163011e+21,5.7102892856062e+21,3.7249003997532e+21,1.0418828976014e+21,2016213321.7632,964.73280963188,1160.1291002735,925.02259950452,1015.3839188663
1.64990848e-05,8.2983328368157e+20,3.2778389059306e+21,8.1757530497523e+21,5.710286237138e+21,3.7248984141469e+21,1.0418823747817e+21,2016212244.9567,964.73280962332,1160.1291002697,925.02259956105,1015.3839188609
2.079890176e-05,8.2983275165611e+20,3.2778368047974e+21,8.1757478103895e+21,5.7102825783169e+21,3.7248960289803e+21,1.0418817330455e+21,2016210952.6741,964.73280961305,1160.1291002651,925.02259962888,1015.3839188543
2.5958682112e-05,8.2983211415676e+20,3.2778342871778e+21,8.1757415323196e+21,5.7102781934164e+21,3.7248931689871e+21,1.041880951307e+21,2016209404.0047,964.73280960073,1160.1291002595,925.02259971028,1015.3839188462
3.21504185344e-05,8.2983135108295e+20,3.2778312736809e+21,8.1757340176064e+21,5.7102729443255e+21,3.7248897443652e+21,1.0418800051164e+21,2016207550.1356,964.73280958594,1160.1291002528,925.02259980795,1015.3839188362
3.958050224128e-05,8.2983043851845e+20,3.2778276698491e+21,8.1757250307325e+21,5.7102666666461e+21,3.7248856481006e+21,1.0418788657392e+21,2016205332.983,964.73280956819,1160.1291002446,925.02259992515,1015.3839188237
4.8496602689536e-05,8.2982934811804e+20,3.2778233637371e+21,8.1757142925583e+21,5.7102591654684e+21,3.7248807531828e+21,1.041877499037e+21,2016202683.6993,964.7328095469,1160.1291002348,925.0226000658,1015.3839188083
5.9195923227443e-05,8.2982804643382e+20,3.2778182232505e+21,8.1757014736893e+21,5.7102502107426e+21,3.7248749095969e+21,1.0418758643023e+21,2016199521.0342,964.73280952134,1160.1291002228,925.02260023457,1015.3839187889
7.2035107872932e-05,8.298264941812e+20,3.2778120932472e+21,8.1756861872513e+21,5.7102395322421e+21,3.7248679410586e+21,1.0418739131509e+21,2016195749.5505,964.73280949068,1160.1291002083,925.02260043709,1015.3839187645
8.7442129447518e-05,8.2982464545962e+20,3.2778047924594e+21,8.1756679812161e+21,5.7102268142115e+21,3.7248596415414e+21,1.0418715885102e+21,2016191257.7312,964.73280945388,1160.1291001907,925.02260068011,1015.3839187335
0.00010593055533702,8.2982244696155e+20,3.2777961103692e+21,8.1756463306134e+21,5.7102116899323e+21,3.7248497717443e+21,1.041868823696e+21,2016185916.0594,964.73280940972,1160.1291001691,925.02260097172,1015.383918694
0.00012811666640443,8.2981983722824e+20,3.2777858042691e+21,8.1756206302001e+21,5.7101937366066e+21,3.7248380557616e+21,1.0418655415807e+21,2016179575.2108,964.73280935673,1160.1291001427,925.02260132164,1015.3839186433
0.00015473999968531,8.2981674604164e+20,3.2777735968601e+21,8.1755901884717e+21,5.710172471175e+21,3.724824178358e+21,1.0418616539186e+21,2016172064.5775,964.73280929314,1160.1291001103,925.02260174152,1015.3839185775
0.00018668799962237,8.2981309408417e+20,3.2777591749085e+21,8.1755542243115e+21,5.7101473479772e+21,3.7248077834435e+21,1.0418570609731e+21,2016163191.4419,964.73280921683,1160.1291000704,925.02260224536,1015.3839184918
0.00022502559954685,8.2980879305325e+20,3.2777421896973e+21,8.1755118681171e+21,5.7101177595386e+21,3.7247884745874e+21,1.0418516516883e+21,2016152741.2554,964.73280912525,1160.129100021,925.02260284992,1015.3839183794
0.00027103071945622,8.2980374648697e+20,3.2777222602871e+21,8.1754621699309e+21,5.7100830422502e+21,3.7247658187243e+21,1.0418453047378e+21,2016140479.6441,964.73280901536,1160.1290999597,925.02260357534,1015.383918231
0.00032623686334746,8.2979785164089e+20,3.2776989809274e+21,8.1754041179212e+21,5.7100424892776e+21,3.7247393545779e+21,1.0418378908875e+21,2016126156.9691,964.73280888348,1160.1290998832,925.02260444577,1015.3839180339
0.00039248423601695,8.2979100284647e+20,3.2776719343195e+21,8.1753366714549e+21,5.7099953736642e+21,3.724708607736e+21,1.0418292772187e+21,2016109516.4867,964.73280872523,1160.1290997873,925.02260549018,1015.3839177709
0.00047198108322034,8.2978309686646e+20,3.2776407127645e+21,8.1752588138342e+21,5.7099409851695e+21,3.7246731146896e+21,1.0418193338611e+21,2016090307.3597,964.73280853531,1160.1290996667,925.02260674333,1015.3839174187
0.00056737729986441,8.297740408143e+20,3.2776049494383e+21,8.1751696302845e+21,5.7098786847475e+21,3.724632458382e+21,1.0418079439497e+21,2016068303.8993,964.73280830739,1160.1290995141,925.0226082469,1015.3839169457
0.0006818527598373,8.2976376317945e+20,3.2775643619303e+21,8.1750684165272e+21,5.7098079803897e+21,3.7245863177007e+21,1.0417950174874e+21,2016043332.3537,964.73280803387,1160.1290993205,925.02261005091,1015.3839163095
0.00081922331180476,8.2975222833073e+20,3.2775188095189e+21,8.1749548216047e+21,5.7097286268962e+21,3.7245345325832e+21,1.041780509581e+21,2016015306.1464,964.73280770561,1160.1290990737,925.02261221535,1015.3839154538
0.00098406797416571,8.2973945446612e+20,3.277468364056e+21,8.174829024645e+21,5.709640749354e+21,3.724477184594e+21,1.0417644430115e+21,2015984269.4899,964.73280731166,1160.1290987584,925.02261481218,1015.3839143041
