time,group1_current,group2_current,group3_current,group4_current,group5_current,group6_current,heat,max_temp_fuel,temp_blanket,temp_fuel
0,0,0,0,0,0,0,0,0,0,0
1e-06,2.6719171262404e+18,1.035217636229e+19,2.39238565867e+19,1.6068563177691e+19,1.2530829504458e+19,1.2415772633544e+19,6476507.981005,973.00000019247,973.00000000147,973.00000015247
2.2e-06,2.5934783165793e+18,1.018653637833e+19,2.5020561672754e+19,1.7083401042512e+19,1.1707588230347e+19,1.0132575310072e+19,6414692.866985,973.0000004653,973.00000000299,973.00000033408
3.64e-06,2.5480215530439e+18,1.0028306760777e+19,2.4882901351056e+19,1.7300272081113e+19,1.148025457406e+19,8.4581455995129e+18,6285344.9359241,973.00000084069,973.00000000458,973.00000054786
5.368e-06,2.5039868954963e+18,9.8677647058853e+18,2.4555135994934e+19,1.7174379283589e+19,1.1336834647631e+19,7.1709272108276e+18,6166742.8646599,973.00000134696,973.00000000626,973.00000079979
7.4416e-06,2.4732469241939e+18,9.7548155223775e+18,2.4299960400483e+19,1.7010913930913e+19,1.1204874988073e+19,6.1397977496389e+18,6084998.8543598,973.00000201684,973.00000000806,973.00000109833
9.92992e-06,2.4590801694862e+18,9.7043825617881e+18,2.4185183733395e+19,1.6921793569123e+19,1.1114583556484e+19,5.3025464372903e+18,6046404.5285795,973.00000288711,973.00000001,973.00000145454
1.2915904e-05,2.461269163398e+18,9.716669984442e+18,2.4220586254117e+19,1.6934489420904e+19,1.1090857057386e+19,4.6356021802293e+18,6049476.3514755,973.00000399937,973.00000001213,973.00000188244
1.64990848e-05,2.4785128860235e+18,9.7871671943098e+18,2.4398422595075e+19,1.7048769402437e+19,1.1140116183408e+19,4.1293725059201e+18,6090458.6315813,973.00000540232,973.00000001451,973.0000023996
2.079890176e-05,2.5096548229048e+18,9.9117095048963e+18,2.4709785610616e+19,1.7259118614522e+19,1.125981646327e+19,3.7739710432048e+18,6166160.2302694,973.00000715538,973.00000001725,973.00000302809
2.5958682112e-05,2.5543064315375e+18,1.0089037815754e+19,2.5152202803968e+19,1.7563369591907e+19,1.1447047147146e+19,3.5538413896095e+18,6275401.7853761,973.00000933373,973.00000002045,973.00000379579
3.21504185344e-05,2.6131495320269e+18,1.0322040303701e+19,2.5733186697834e+19,1.7966126988957e+19,1.1702874235628e+19,3.4482478156919e+18,6419714.4597527,973.00001203485,973.00000002426,973.00000473834
3.958050224128e-05,2.6880949686485e+18,1.0618404160915e+19,2.6472045786283e+19,1.8480292774034e+19,1.2034091177759e+19,3.4348615350136e+18,6603702.7007533,973.0000153873,973.0000000289,973.0000059019
4.8496602689536e-05,2.7824348421753e+18,1.0991231498813e+19,2.7401505942826e+19,1.9128261611942e+19,1.2454125684038e+19,3.4941647411402e+18,6835399.7686396,973.00001956276,973.0000000346,973.00000734722
5.9195923227443e-05,2.9011068724593e+18,1.146009311982e+19,2.8570380685455e+19,1.9943788411435e+19,1.298419263924e+19,3.6130078421913e+18,7126904.3344467,973.00002479352,973.00000004171,973.0000091556
7.2035107872932e-05,3.0511819188911e+18,1.2052961795312e+19,3.0048412940126e+19,2.0975350312154e+19,1.3655385865899e+19,3.7865704409589e+18,7495569.4804458,973.00003139854,973.00000005066,973.00001143793
8.7442129447518e-05,3.2427085772404e+18,1.2809555438562e+19,3.1934620502124e+19,2.2291945861034e+19,1.4512363138615e+19,4.0190111276893e+18,7966071.8395524,973.00003982367,973.00000006207,973.00001434865
0.00010593055533702,3.4901297707647e+18,1.3786939214324e+19,3.4371267049978e+19,2.3992819437072e+19,1.5619601882932e+19,4.3238400028841e+18,8573887.9049837,973.00005070591,973.0000000768,973.00001810803
0.00012811666640443,3.8146628373315e+18,1.506893248218e+19,3.7567315616481e+19,2.6223808907553e+19,1.7071985291184e+19,4.725338815955e+18,9371138.6699745,973.00006497911,973.00000009612,973.00002303876
0.00015473999968531,4.2483892806806e+18,1.6782267747182e+19,4.1838713610699e+19,2.9205449616125e+19,1.9013061293501e+19,5.2624599397458e+18,10436635.237452,973.00008405447,973.00000012194,973.00002962839
0.00018668799962237,4.8415312105354e+18,1.9125336368429e+19,4.768005661106e+19,3.3282989420269e+19,2.1667582179758e+19,5.9971472422099e+18,11893753.525041,973.00011014081,973.00000015726,973.00003863996
0.00022502559954685,5.6759810571614e+18,2.2421635457114e+19,5.5897832880282e+19,3.9019395058397e+19,2.5402043055262e+19,7.0307630274129e+18,13943671.22297,973.00014683967,973.00000020694,973.00005131765
0.00027103071945622,6.8918213276171e+18,2.7224528261817e+19,6.7871594209087e+19,4.7377660208538e+19,3.0843362492346e+19,8.5368066743546e+18,16930516.364369,973.00020031177,973.00000027932,973.00006978968
0.00032623686334746,8.7426631489125e+18,3.4535846262385e+19,8.6098937681214e+19,6.010122850898e+19,3.9126540729348e+19,1.0829418859124e+19,21477312.483109,973.00028171063,973.00000038951,973.00009790904
0.00039248423601695,1.1720072623848e+19,4.6297406452571e+19,1.1542087355292e+20,8.0569359540235e+19,5.2451511699305e+19,1.4517495114318e+19,28791645.554932,973.00041265484,973.00000056676,973.00014314389
0.00047198108322034,1.68598453169e+19,6.6600877097935e+19,1.6603805830876e+20,1.159026055441e+20,7.5453830752489e+19,2.0884061285822e+19,41418060.668518,973.00063869779,973.00000087275,973.00022123072
0.00056737729986441,2.6585400227275e+19,1.050194084828e+20,2.6181665402495e+20,1.8276070367402e+20,1.1897916445595e+20,3.2930974072049e+19,65309950.926196,973.00106642011,973.00000145175,973.00036898792
