time,group1_current,group2_current,group3_current,group4_current,group5_current,group6_current,temp_fuel
0,0,0,0,0,0,0,0
1e-06,2.6719171144709e+20,1.0352176317449e+21,2.3923856478849e+21,1.6068563131779e+21,1.2530829495044e+21,1.2415772638441e+21,973.00001524724
2.2e-06,2.593478233013e+20,1.0186536091082e+21,2.5020561068645e+21,1.7083400729316e+21,1.1707588111086e+21,1.0132575305077e+21,973.0000334075
3.64e-06,2.5480214040948e+20,1.0028306217375e+21,2.4882900126754e+21,1.7300271369477e+21,1.148025424396e+21,8.4581455602463e+20,973.00005478551
5.368e-06,2.5039866504872e+20,9.8677637908206e+20,2.4555133869097e+21,1.7174377976611e+21,1.1336833976827e+21,7.1709271033836e+20,973.00007997865
7.4416e-06,2.4732465325926e+20,9.7548140388982e+20,2.4299956892872e+21,1.7010911703346e+21,1.1204873774488e+21,6.1397975245022e+20,973.00010983305
9.92992e-06,2.4590795520977e+20,9.7043801999786e+20,2.4185178082179e+21,1.6921789902804e+21,1.1114581478099e+21,5.3025460174535e+20,973.00014545421
1.2915904e-05,2.4612681975903e+20,9.716666263459e+20,2.422057727325e+21,1.6934483504731e+21,1.1090853606237e+21,4.6356014429255e+20,973.00018824367
1.64990848e-05,2.4785113827447e+20,9.7871613718684e+20,2.4398408449793e+21,1.7048759976376e+21,1.1140110564766e+21,4.12937125502e+20,973.00023995967
2.079890176e-05,2.50965249086e+20,9.9117004360984e+20,2.4709763466685e+21,1.7259103726102e+21,1.1259807438418e+21,3.7739689665741e+20,973.00030280865
2.5958682112e-05,2.5543028081418e+20,1.0089023682154e+21,2.5152168165975e+21,1.756334614016e+21,1.1447032741825e+21,3.5538379835216e+20,973.00037957891
3.21504185344e-05,2.6131439144853e+20,1.0322018339075e+21,2.5733132685236e+21,1.7966090215821e+21,1.1702851409292e+21,3.4482422874664e+20,973.00047383367
3.958050224128e-05,2.6880862471186e+20,1.061836999414e+21,2.6471961557011e+21,1.8480235168295e+21,1.2034055109568e+21,3.4348526159027e+20,973.00059018941
4.8496602689536e-05,2.7824212456211e+20,1.0991178151605e+21,2.7401374167579e+21,1.9128171164555e+21,1.2454068659846e+21,3.4941503854137e+20,973.00073472063
5.9195923227443e-05,2.9010855341555e+20,1.1460009299616e+21,2.8570173299842e+21,1.9943645638569e+21,1.2984102120168e+21,3.6129847080551e+20,973.00091555744
7.2035107872932e-05,3.0511480779665e+20,1.2052828736414e+21,3.0048083298966e+21,2.0975122830788e+21,1.365524098354e+21,3.7865329346833e+20,973.00114378789
8.7442129447518e-05,3.2426541330397e+20,1.2809341203134e+21,3.1934089191041e+21,2.2291578499422e+21,1.4512128299039e+21,4.0189496757044e+20,973.00143485505
0.00010593055533702,3.4900405211035e+20,1.3786587798819e+21,3.4370394772265e+21,2.3992215366979e+21,1.5619214554564e+21,4.3237377315148e+20,973.00181078304
