time,group1_current,group2_current,group3_current,group4_current,group5_current,group6_current,heat,temp_blanket,temp_fuel
0,0,0,0,0,0,0,0,0,0
1e-06,2.6719171082579e+18,1.0352176283902e+19,2.3923856387609e+19,1.6068563058471e+19,1.2530829446065e+19,1.2415772614999e+19,6476507.9225788,973.00000124942,973.00005715068
2.2e-06,2.5934782779552e+18,1.0186536213539e+19,2.5020561234978e+19,1.7083400754146e+19,1.1707588075516e+19,1.0132575270207e+19,6414692.7515565,973.00000274841,973.0001257249
3.64e-06,2.5480214884833e+18,1.0028306490473e+19,2.4882900633674e+19,1.730027158942e+19,1.148025429063e+19,8.4581455333655e+18,6285344.7514296,973.0000045469,973.00020800227
5.368e-06,2.5039867980977e+18,9.8677643029785e+18,2.4555134932844e+19,1.7174378544201e+19,1.1336834201808e+19,7.1709271099276e+18,6166742.5939561,973.00000670476,973.00030671964
7.4416e-06,2.4732467834877e+18,9.7548149450518e+18,2.4299958888925e+19,1.701091287247e+19,1.1204874333736e+19,6.1397976010084e+18,6084998.4708523,973.0000092938,973.00042516107
9.92992e-06,2.4590799693546e+18,9.7043817454925e+18,2.4185181608952e+19,1.6921792078485e+19,1.111458262249e+19,5.3025462216772e+18,6046403.9911107,973.00001240023,973.00056726623
1.2915904e-05,2.4612688792556e+18,9.7166688308293e+18,2.4220583267545e+19,1.6934487324208e+19,1.109085573329e+19,4.6356018687887e+18,6049475.5973761,973.00001612742,973.00073776042
1.64990848e-05,2.478512480765e+18,9.7871655552327e+18,2.4398418371495e+19,1.7048766437492e+19,1.1140114300919e+19,4.1293720549953e+18,6090457.5666621,973.00002059942,973.00094231044
2.079890176e-05,2.5096542408657e+18,9.9117071585025e+18,2.4709779589802e+19,1.7259114389224e+19,1.1259813769248e+19,3.7739703865728e+18,6166158.7138877,973.00002596503,973.00118771113
2.5958682112e-05,2.5543055768949e+18,1.0089034382378e+19,2.5152194042421e+19,1.7563363449868e+19,1.1447043219497e+19,3.553840418613e+18,6275399.5831763,973.00003240273,973.00148210866
3.21504185344e-05,2.6131482769439e+18,1.0322035275128e+19,2.5733173898391e+19,1.796611802368e+19,1.1702868489398e+19,3.4482463725605e+18,6419711.2472574,973.00004012658,973.00183526764
3.958050224128e-05,2.6880931144134e+18,1.0618396747401e+19,2.6472026973835e+19,1.8480279601828e+19,1.2034082711069e+19,3.4348593765168e+18,6603697.9819257,973.00004939328,973.00225889026
4.8496602689536e-05,2.782432082699e+18,1.0991220484404e+19,2.7401478069324e+19,1.91282421067e+19,1.2454113119046e+19,3.4941614945826e+18,6835392.781524,973.00006051063,973.00276699761
5.9195923227443e-05,2.9011027395431e+18,1.1460076651992e+19,2.8570339102135e+19,1.9943759312063e+19,1.2984173858613e+19,3.6130029360729e+18,7126893.9168622,973.00007384762,973.00337638462
7.2035107872932e-05,3.0511756656305e+18,1.2052936914125e+19,3.0048350234784e+19,2.097530644306e+19,1.3655357508227e+19,3.786562959754e+18,7495553.7798149,973.00008984655,973.00410716278
